date,SPY
1993-02-01,0.0106685974174707
1993-03-01,0.017592857502507
1993-04-01,-0.0209860786558132
1993-05-01,0.0269703040803994
1993-06-01,-0.003455800666561
1993-07-01,0.0021985656608163
1993-08-01,0.0383271236501492
1993-09-01,-0.0134224489312412
1993-10-01,0.0260817574542133
1993-11-01,-0.010674141909395
1993-12-01,0.0053951685261925
1994-01-01,0.0419599183343002
1994-02-01,-0.0291642273202497
1994-03-01,-0.0473965868123801
1994-04-01,0.0170460318919154
1994-05-01,0.0159389112041732
1994-06-01,-0.0293312927032773
1994-07-01,0.0391508728172953
1994-08-01,0.0381214070711533
1994-09-01,-0.0311476399098933
1994-10-01,0.034680846538708
1994-11-01,-0.0398154926081681
1994-12-01,-0.0006854785654697
1995-01-01,0.041848922661863
1995-02-01,0.0408095482611543
1995-03-01,0.0223141459376337
1995-04-01,0.0351952565738542
1995-05-01,0.0396736595493349
1995-06-01,0.0142728718453575
1995-07-01,0.0382273879292303
1995-08-01,0.0044514636428232
1995-09-01,0.0368421392981741
1995-10-01,0.0023839334579074
1995-11-01,0.0444794779885877
1995-12-01,0.0094921701722976
1996-01-01,0.0419803448368156
1996-02-01,0.0031898600838493
1996-03-01,0.012720179440006
1996-04-01,0.0153593529559381
1996-05-01,0.0227006645928571
1996-06-01,0.0035044827432169
1996-07-01,-0.0398756631901524
1996-08-01,0.0192585585302342
1996-09-01,0.0504668175252336
1996-10-01,0.0376442645435386
1996-11-01,0.0730040366851538
1996-12-01,-0.0285712640360867
1997-01-01,0.0670038014653431
1997-02-01,0.0095657203232988
1997-03-01,-0.0477694191972705
1997-04-01,0.0666726022925978
1997-05-01,0.0632070497380297
1997-06-01,0.0370636847469025
1997-07-01,0.0834667067368464
1997-08-01,-0.051803948344664
1997-09-01,0.0442612233546511
1997-10-01,-0.0209250504765131
1997-11-01,0.0386966540847482
1997-12-01,0.0150326179199111
1998-01-01,0.0169084076579595
1998-02-01,0.0692945923217731
1998-03-01,0.0457787148226234
1998-04-01,0.0157016165790684
1998-05-01,-0.0207687106584876
1998-06-01,0.0392658440137432
1998-07-01,-0.01037440901058
1998-08-01,-0.1411799241733201
1998-09-01,0.0598961561957069
1998-10-01,0.0848989596272753
1998-11-01,0.0556816120703747
1998-12-01,0.061894716345314
1999-01-01,0.0386650791921217
1999-02-01,-0.0320681828343839
1999-03-01,0.0389477206163286
1999-04-01,0.0404920865755531
1999-05-01,-0.0228655091838907
1999-06-01,0.0522019343545097
1999-07-01,-0.0280969031080646
1999-08-01,-0.0051791437840525
1999-09-01,-0.0250825160003017
1999-10-01,0.0670747150736523
1999-11-01,0.0166513245535391
1999-12-01,0.0545204227495432
2000-01-01,-0.047454862312699
2000-02-01,-0.0152254311428419
2000-03-01,0.0941329171801645
